acceptable,review_notes,delete_reason,skill_id,band,level,phase,question_id,question_type,target_word,prompt,sentence_with_blank,full_sentence,answer_choices,correct_answer,letter_tiles,correct_letter_sequence,image_path,audio_path,template_key,content_key,target_template_key,source,source_sheet,generator_notes,possible_problem_flags
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_in_l1p1_02,multiple_choice,in,Choose the word that completes the sentence.,The fish swam ___ the bowl.,The fish swam in the bowl.,a | like | look | in | a | like | look | in | a | like | look | in,in,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s01.webp,,HFW_SENTENCE_CLOZE_L1P1_09,in::HFW_SENTENCE_CLOZE_L1P1_09::the fish swam ___ the bowl::in::a|a|a|in|in|in|like|like|like|look|look|look::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s01.webp,in::HFW_SENTENCE_CLOZE_L1P1_09,hfw_true_variation_generator,HFW 1-25,sentence_frame=the fish swam ___ the bowl,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_in_l1p1_03,multiple_choice,in,Choose the word that completes the sentence.,My book is ___ the bag.,My book is in the bag.,like | look | in | a | like | look | in | a | like | look | in | a,in,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s02.webp,,HFW_SENTENCE_CLOZE_L1P1_10,in::HFW_SENTENCE_CLOZE_L1P1_10::my book is ___ the bag::in::a|a|a|in|in|in|like|like|like|look|look|look::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s02.webp,in::HFW_SENTENCE_CLOZE_L1P1_10,hfw_true_variation_generator,HFW 1-25,sentence_frame=my book is ___ the bag,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_in_l1p1_04,multiple_choice,in,Choose the word that completes the sentence.,A frog sat ___ the pond.,A frog sat in the pond.,go | in | like | look | go | in | like | look | go | in | like | look,in,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s03.webp,,HFW_SENTENCE_CLOZE_L1P1_11,in::HFW_SENTENCE_CLOZE_L1P1_11::a frog sat ___ the pond::in::go|go|go|in|in|in|like|like|like|look|look|look::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s03.webp,in::HFW_SENTENCE_CLOZE_L1P1_11,hfw_true_variation_generator,HFW 1-25,sentence_frame=a frog sat ___ the pond,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_in_l1p1_05,multiple_choice,in,Choose the word that completes the sentence.,The spoon is ___ the cup.,The spoon is in the cup.,in | a | like | look | in | a | like | look | in | a | like | look,in,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s04.webp,,HFW_SENTENCE_CLOZE_L1P1_12,in::HFW_SENTENCE_CLOZE_L1P1_12::the spoon is ___ the cup::in::a|a|a|in|in|in|like|like|like|look|look|look::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s04.webp,in::HFW_SENTENCE_CLOZE_L1P1_12,hfw_true_variation_generator,HFW 1-25,sentence_frame=the spoon is ___ the cup,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_in_l1p1_06,multiple_choice,in,Choose the word that completes the sentence.,She put blocks ___ the box.,She put blocks in the box.,a | like | look | in | a | like | look | in | a | like | look | in,in,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s05.webp,,HFW_SENTENCE_CLOZE_L1P1_13,in::HFW_SENTENCE_CLOZE_L1P1_13::she put blocks ___ the box::in::a|a|a|in|in|in|like|like|like|look|look|look::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s05.webp,in::HFW_SENTENCE_CLOZE_L1P1_13,hfw_true_variation_generator,HFW 1-25,sentence_frame=she put blocks ___ the box,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_in_l1p2_01,multiple_choice,in,Read the sentence. Choose the word that fits.,"When the dog sat, the key is ___ the box.","When the dog sat, the key is in the box.",a | like | look | in | a | like | look | in | a | like | look | in,in,,,/images/assessment/hfw/variants/hfw-1-25/in-l1p2-02.webp,,HFW_SENTENCE_CLOZE_L1P2_08,in::HFW_SENTENCE_CLOZE_L1P2_08::when the dog sat the key is ___ the box::in::a|a|a|in|in|in|like|like|like|look|look|look::/images/assessment/hfw/variants/hfw-1-25/in-l1p2-02.webp,in::HFW_SENTENCE_CLOZE_L1P2_08,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the dog sat the key is ___ the box,mechanical_sentence
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_in_l1p2_02,multiple_choice,in,Read the sentence. Choose the word that fits.,The baby slept ___ the crib.,The baby slept in the crib.,a | like | in | we | a | like | in | we | a | like | in | we,in,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s06.webp,,HFW_SENTENCE_CLOZE_L1P2_09,in::HFW_SENTENCE_CLOZE_L1P2_09::the baby slept ___ the crib::in::a|a|a|in|in|in|like|like|like|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s06.webp,in::HFW_SENTENCE_CLOZE_L1P2_09,hfw_true_variation_generator,HFW 1-25,sentence_frame=the baby slept ___ the crib,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_in_l1p2_03,multiple_choice,in,Read the sentence. Choose the word that fits.,A bird was ___ the tree.,A bird was in the tree.,look | in | we | like | look | in | we | like | look | in | we | like,in,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s07.webp,,HFW_SENTENCE_CLOZE_L1P2_10,in::HFW_SENTENCE_CLOZE_L1P2_10::a bird was ___ the tree::in::in|in|in|like|like|like|look|look|look|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s07.webp,in::HFW_SENTENCE_CLOZE_L1P2_10,hfw_true_variation_generator,HFW 1-25,sentence_frame=a bird was ___ the tree,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_in_l1p2_04,multiple_choice,in,Read the sentence. Choose the word that fits.,We played ___ the yard.,We played in the yard.,in | a | like | look | in | a | like | look | in | a | like | look,in,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s08.webp,,HFW_SENTENCE_CLOZE_L1P2_11,in::HFW_SENTENCE_CLOZE_L1P2_11::we played ___ the yard::in::a|a|a|in|in|in|like|like|like|look|look|look::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s08.webp,in::HFW_SENTENCE_CLOZE_L1P2_11,hfw_true_variation_generator,HFW 1-25,sentence_frame=we played ___ the yard,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_in_l1p2_05,multiple_choice,in,Read the sentence. Choose the word that fits.,The dog hid ___ the shed.,The dog hid in the shed.,we | a | like | in | we | a | like | in | we | a | like | in,in,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s09.webp,,HFW_SENTENCE_CLOZE_L1P2_12,in::HFW_SENTENCE_CLOZE_L1P2_12::the dog hid ___ the shed::in::a|a|a|in|in|in|like|like|like|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s09.webp,in::HFW_SENTENCE_CLOZE_L1P2_12,hfw_true_variation_generator,HFW 1-25,sentence_frame=the dog hid ___ the shed,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_in_l1p2_06,multiple_choice,in,Read the sentence. Choose the word that fits.,He found a shell ___ the sand.,He found a shell in the sand.,like | look | in | we | like | look | in | we | like | look | in | we,in,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s10.webp,,HFW_SENTENCE_CLOZE_L1P2_13,in::HFW_SENTENCE_CLOZE_L1P2_13::he found a shell ___ the sand::in::in|in|in|like|like|like|look|look|look|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s10.webp,in::HFW_SENTENCE_CLOZE_L1P2_13,hfw_true_variation_generator,HFW 1-25,sentence_frame=he found a shell ___ the sand,
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_in_l2p1_01,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,"When the rain stopped, the key is ___ the box.","When the rain stopped, the key is in the box.",,in,s n q k c u i t e p y n,in,/images/assessment/hfw/variants/hfw-1-25/in-l2p1-02.webp,,HFW_SENTENCE_SPELL_L2P1_08,in::HFW_SENTENCE_SPELL_L2P1_08::when the rain stopped the key is ___ the box::in::/images/assessment/hfw/variants/hfw-1-25/in-l2p1-02.webp,in::HFW_SENTENCE_SPELL_L2P1_08,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the rain stopped the key is ___ the box,mechanical_sentence
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_in_l2p1_02,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,The pencil is ___ the drawer.,The pencil is in the drawer.,,in,n h s j q m c i a t v p,in,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s11.webp,,HFW_SENTENCE_SPELL_L2P1_09,in::HFW_SENTENCE_SPELL_L2P1_09::the pencil is ___ the drawer::in::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s11.webp,in::HFW_SENTENCE_SPELL_L2P1_09,hfw_true_variation_generator,HFW 1-25,sentence_frame=the pencil is ___ the drawer,
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_in_l2p1_03,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,A mouse ran ___ the wall.,A mouse ran in the wall.,,in,n r h x j f m i o a b v,in,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s12.webp,,HFW_SENTENCE_SPELL_L2P1_10,in::HFW_SENTENCE_SPELL_L2P1_10::a mouse ran ___ the wall::in::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s12.webp,in::HFW_SENTENCE_SPELL_L2P1_10,hfw_true_variation_generator,HFW 1-25,sentence_frame=a mouse ran ___ the wall,
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_in_l2p1_04,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,The cookies are ___ the jar.,The cookies are in the jar.,,in,b n d r z x w f i i o g,in,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s13.webp,,HFW_SENTENCE_SPELL_L2P1_11,in::HFW_SENTENCE_SPELL_L2P1_11::the cookies are ___ the jar::in::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s13.webp,in::HFW_SENTENCE_SPELL_L2P1_11,hfw_true_variation_generator,HFW 1-25,sentence_frame=the cookies are ___ the jar,
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_in_l2p1_05,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,She sat ___ the red chair.,She sat in the red chair.,,in,k g n l d e z y w i n i,in,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s14.webp,,HFW_SENTENCE_SPELL_L2P1_12,in::HFW_SENTENCE_SPELL_L2P1_12::she sat ___ the red chair::in::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s14.webp,in::HFW_SENTENCE_SPELL_L2P1_12,hfw_true_variation_generator,HFW 1-25,sentence_frame=she sat ___ the red chair,
Y,,,hfw_1_25,1-25,2,1,hfw_true_hfw_1_25_in_l2p1_06,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,The moon shone ___ the sky.,The moon shone in the sky.,,in,q k n u l t e p y i s n,in,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s15.webp,,HFW_SENTENCE_SPELL_L2P1_13,in::HFW_SENTENCE_SPELL_L2P1_13::the moon shone ___ the sky::in::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s15.webp,in::HFW_SENTENCE_SPELL_L2P1_13,hfw_true_variation_generator,HFW 1-25,sentence_frame=the moon shone ___ the sky,
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_in_l2p2_01,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,"When the garden gate opened, the key is ___ the box.","When the garden gate opened, the key is in the box.",,in,j q i c u a t n p y h s,in,/images/assessment/hfw/variants/hfw-1-25/in-l2p2-02.webp,,HFW_SENTENCE_SPELL_L2P2_08,in::HFW_SENTENCE_SPELL_L2P2_08::when the garden gate opened the key is ___ the box::in::/images/assessment/hfw/variants/hfw-1-25/in-l2p2-02.webp,in::HFW_SENTENCE_SPELL_L2P2_08,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the garden gate opened the key is ___ the box,mechanical_sentence
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_in_l2p2_02,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,I saw stars ___ the night.,I saw stars in the night.,,in,x j i m c o a n v p r h,in,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s16.webp,,HFW_SENTENCE_SPELL_L2P2_09,in::HFW_SENTENCE_SPELL_L2P2_09::i saw stars ___ the night::in::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s16.webp,in::HFW_SENTENCE_SPELL_L2P2_09,hfw_true_variation_generator,HFW 1-25,sentence_frame=i saw stars ___ the night,
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_in_l2p2_03,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,The rabbit is ___ the garden.,The rabbit is in the garden.,,in,r z x i f m i o n b v d,in,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s17.webp,,HFW_SENTENCE_SPELL_L2P2_10,in::HFW_SENTENCE_SPELL_L2P2_10::the rabbit is ___ the garden::in::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s17.webp,in::HFW_SENTENCE_SPELL_L2P2_10,hfw_true_variation_generator,HFW 1-25,sentence_frame=the rabbit is ___ the garden,
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_in_l2p2_04,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,The milk is ___ the fridge.,The milk is in the fridge.,,in,l d e z i w f n i n g b,in,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s18.webp,,HFW_SENTENCE_SPELL_L2P2_11,in::HFW_SENTENCE_SPELL_L2P2_11::the milk is ___ the fridge::in::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s18.webp,in::HFW_SENTENCE_SPELL_L2P2_11,hfw_true_variation_generator,HFW 1-25,sentence_frame=the milk is ___ the fridge,
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_in_l2p2_05,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,He kept coins ___ his pocket.,He kept coins in his pocket.,,in,u l t e i y w s n n k g,in,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s19.webp,,HFW_SENTENCE_SPELL_L2P2_12,in::HFW_SENTENCE_SPELL_L2P2_12::he kept coins ___ his pocket::in::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s19.webp,in::HFW_SENTENCE_SPELL_L2P2_12,hfw_true_variation_generator,HFW 1-25,sentence_frame=he kept coins ___ his pocket,
Y,,,hfw_1_25,1-25,2,2,hfw_true_hfw_1_25_in_l2p2_06,hfw_sentence_spell,in,Listen to the sentence. Spell the word that fits.,The class sat ___ a circle.,The class sat in a circle.,,in,k c u a t i p y h s n q,in,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s20.webp,,HFW_SENTENCE_SPELL_L2P2_13,in::HFW_SENTENCE_SPELL_L2P2_13::the class sat ___ a circle::in::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_in_s20.webp,in::HFW_SENTENCE_SPELL_L2P2_13,hfw_true_variation_generator,HFW 1-25,sentence_frame=the class sat ___ a circle,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_said_l1p1_01,multiple_choice,said,Choose the word that completes the sentence.,"When the wind blew, mom ___ it was time to go.","When the wind blew, mom said it was time to go.",come | we | for | said | come | we | for | said | come | we | for | said,said,,,/images/assessment/hfw/variants/hfw-1-25/said-l1p1-02.webp,,HFW_SENTENCE_CLOZE_L1P1_09,said::HFW_SENTENCE_CLOZE_L1P1_09::when the wind blew mom ___ it was time to go::said::come|come|come|for|for|for|said|said|said|we|we|we::/images/assessment/hfw/variants/hfw-1-25/said-l1p1-02.webp,said::HFW_SENTENCE_CLOZE_L1P1_09,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the wind blew mom ___ it was time to go,mechanical_sentence
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_said_l1p1_02,multiple_choice,said,Choose the word that completes the sentence.,"When the cup tipped, mom ___ it was time to go.","When the cup tipped, mom said it was time to go.",we | for | said | come | we | for | said | come | we | for | said | come,said,,,/images/assessment/hfw/variants/hfw-1-25/said-l1p1-03.webp,,HFW_SENTENCE_CLOZE_L1P1_10,said::HFW_SENTENCE_CLOZE_L1P1_10::when the cup tipped mom ___ it was time to go::said::come|come|come|for|for|for|said|said|said|we|we|we::/images/assessment/hfw/variants/hfw-1-25/said-l1p1-03.webp,said::HFW_SENTENCE_CLOZE_L1P1_10,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the cup tipped mom ___ it was time to go,mechanical_sentence
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_said_l1p1_03,multiple_choice,said,Choose the word that completes the sentence.,Mom ___ it was time to go.,Mom said it was time to go.,for | said | come | we | for | said | come | we | for | said | come | we,said,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s01.webp,,HFW_SENTENCE_CLOZE_L1P1_11,said::HFW_SENTENCE_CLOZE_L1P1_11::mom ___ it was time to go::said::come|come|come|for|for|for|said|said|said|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s01.webp,said::HFW_SENTENCE_CLOZE_L1P1_11,hfw_true_variation_generator,HFW 1-25,sentence_frame=mom ___ it was time to go,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_said_l1p1_04,multiple_choice,said,Choose the word that completes the sentence.,"The teacher ___, “Line up.”","The teacher said, “Line up.”",said | come | we | for | said | come | we | for | said | come | we | for,said,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s02.webp,,HFW_SENTENCE_CLOZE_L1P1_12,said::HFW_SENTENCE_CLOZE_L1P1_12::the teacher ___ line up::said::come|come|come|for|for|for|said|said|said|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s02.webp,said::HFW_SENTENCE_CLOZE_L1P1_12,hfw_true_variation_generator,HFW 1-25,sentence_frame=the teacher ___ line up,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_said_l1p1_05,multiple_choice,said,Choose the word that completes the sentence.,He ___ the word slowly.,He said the word slowly.,come | we | for | said | come | we | for | said | come | we | for | said,said,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s03.webp,,HFW_SENTENCE_CLOZE_L1P1_13,said::HFW_SENTENCE_CLOZE_L1P1_13::he ___ the word slowly::said::come|come|come|for|for|for|said|said|said|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s03.webp,said::HFW_SENTENCE_CLOZE_L1P1_13,hfw_true_variation_generator,HFW 1-25,sentence_frame=he ___ the word slowly,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_said_l1p1_06,multiple_choice,said,Choose the word that completes the sentence.,She ___ hello to the class.,She said hello to the class.,come | we | said | one | come | we | said | one | come | we | said | one,said,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s04.webp,,HFW_SENTENCE_CLOZE_L1P1_14,said::HFW_SENTENCE_CLOZE_L1P1_14::she ___ hello to the class::said::come|come|come|one|one|one|said|said|said|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s04.webp,said::HFW_SENTENCE_CLOZE_L1P1_14,hfw_true_variation_generator,HFW 1-25,sentence_frame=she ___ hello to the class,
Y,,,hfw_1_25,1-25,1,1,hfw_true_hfw_1_25_said_l1p1_07,multiple_choice,said,Choose the word that completes the sentence.,The boy ___ he saw a frog.,The boy said he saw a frog.,we | said | one | come | we | said | one | come | we | said | one | come,said,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s05.webp,,HFW_SENTENCE_CLOZE_L1P1_15,said::HFW_SENTENCE_CLOZE_L1P1_15::the boy ___ he saw a frog::said::come|come|come|one|one|one|said|said|said|we|we|we::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s05.webp,said::HFW_SENTENCE_CLOZE_L1P1_15,hfw_true_variation_generator,HFW 1-25,sentence_frame=the boy ___ he saw a frog,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_said_l1p2_01,multiple_choice,said,Read the sentence. Choose the word that fits.,"When the drum tapped, mom ___ it was time to go.","When the drum tapped, mom said it was time to go.",is | on | said | in | is | on | said | in | is | on | said | in,said,,,/images/assessment/hfw/variants/hfw-1-25/said-l1p2-02.webp,,HFW_SENTENCE_CLOZE_L1P2_09,said::HFW_SENTENCE_CLOZE_L1P2_09::when the drum tapped mom ___ it was time to go::said::in|in|in|is|is|is|on|on|on|said|said|said::/images/assessment/hfw/variants/hfw-1-25/said-l1p2-02.webp,said::HFW_SENTENCE_CLOZE_L1P2_09,hfw_true_variation_generator,HFW 1-25,sentence_frame=when the drum tapped mom ___ it was time to go,mechanical_sentence
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_said_l1p2_02,multiple_choice,said,Read the sentence. Choose the word that fits.,Dad ___ the soup was hot.,Dad said the soup was hot.,it | said | in | is | it | said | in | is | it | said | in | is,said,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s06.webp,,HFW_SENTENCE_CLOZE_L1P2_10,said::HFW_SENTENCE_CLOZE_L1P2_10::dad ___ the soup was hot::said::in|in|in|is|is|is|it|it|it|said|said|said::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s06.webp,said::HFW_SENTENCE_CLOZE_L1P2_10,hfw_true_variation_generator,HFW 1-25,sentence_frame=dad ___ the soup was hot,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_said_l1p2_03,multiple_choice,said,Read the sentence. Choose the word that fits.,The girl ___ she liked the book.,The girl said she liked the book.,said | in | is | it | said | in | is | it | said | in | is | it,said,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s07.webp,,HFW_SENTENCE_CLOZE_L1P2_11,said::HFW_SENTENCE_CLOZE_L1P2_11::the girl ___ she liked the book::said::in|in|in|is|is|is|it|it|it|said|said|said::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s07.webp,said::HFW_SENTENCE_CLOZE_L1P2_11,hfw_true_variation_generator,HFW 1-25,sentence_frame=the girl ___ she liked the book,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_said_l1p2_04,multiple_choice,said,Read the sentence. Choose the word that fits.,"My friend ___, “Come here.”","My friend said, “Come here.”",in | is | it | said | in | is | it | said | in | is | it | said,said,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s08.webp,,HFW_SENTENCE_CLOZE_L1P2_12,said::HFW_SENTENCE_CLOZE_L1P2_12::my friend ___ come here::said::in|in|in|is|is|is|it|it|it|said|said|said::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s08.webp,said::HFW_SENTENCE_CLOZE_L1P2_12,hfw_true_variation_generator,HFW 1-25,sentence_frame=my friend ___ come here,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_said_l1p2_05,multiple_choice,said,Read the sentence. Choose the word that fits.,The coach ___ to run fast.,The coach said to run fast.,is | it | said | in | is | it | said | in | is | it | said | in,said,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s09.webp,,HFW_SENTENCE_CLOZE_L1P2_13,said::HFW_SENTENCE_CLOZE_L1P2_13::the coach ___ to run fast::said::in|in|in|is|is|is|it|it|it|said|said|said::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s09.webp,said::HFW_SENTENCE_CLOZE_L1P2_13,hfw_true_variation_generator,HFW 1-25,sentence_frame=the coach ___ to run fast,
Y,,,hfw_1_25,1-25,1,2,hfw_true_hfw_1_25_said_l1p2_06,multiple_choice,said,Read the sentence. Choose the word that fits.,Grandma ___ the cake was ready.,Grandma said the cake was ready.,it | said | in | is | it | said | in | is | it | said | in | is,said,,,/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s10.webp,,HFW_SENTENCE_CLOZE_L1P2_14,said::HFW_SENTENCE_CLOZE_L1P2_14::grandma ___ the cake was ready::said::in|in|in|is|is|is|it|it|it|said|said|said::/images/assessment/hfw/variants/replacement-2026-06-05/hfw_1_25/hfw_workbook_hfw_1_25_said_s10.webp,said::HFW_SENTENCE_CLOZE_L1P2_14,hfw_true_variation_generator,HFW 1-25,sentence_frame=grandma ___ the cake was ready,
