word,missing_image,missing_audio,imageability,decodability_band,primary_section,meaning_clue,suggested_image_path,suggested_audio_path,image_prompt,audio_prompt,notes
coldest,TRUE,TRUE,Medium-Low,,Inflections - ed / er / est,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/coldest.webp,/media/vocabulary/audio/coldest.mp3,"Child-friendly early-reader illustration for ""coldest"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""coldest"" once, natural pronunciation, no extra phrase, no music, no sound effects.",7
cook,TRUE,TRUE,Medium,K-Grade 3 vocabulary,Long u / oo / ew / ue,action word; use in a simple sentence or picture prompt,/media/vocabulary/images/cook.webp,/media/vocabulary/audio/cook.mp3,"Child-friendly early-reader illustration for ""cook"". Classroom meaning clue: action word; use in a simple sentence or picture prompt. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""cook"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
cooked,TRUE,TRUE,Medium-Low,Grade 2-3,Inflections - ed / er / est,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/cooked.webp,/media/vocabulary/audio/cooked.mp3,"Child-friendly early-reader illustration for ""cooked"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""cooked"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
cooking,TRUE,FALSE,Medium-Low,Grade 2-3,Inflections - ing,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/cooking.webp,,"Child-friendly early-reader illustration for ""cooking"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling.
cool,TRUE,FALSE,Medium,K-Grade 3 vocabulary,Long u / oo / ew / ue,describing word; tells what something is like,/media/vocabulary/images/cool.webp,,"Child-friendly early-reader illustration for ""cool"". Classroom meaning clue: describing word; tells what something is like. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling.
cop,TRUE,TRUE,Medium,K-Grade 1,Short o CVC,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/cop.webp,/media/vocabulary/audio/cop.mp3,"Child-friendly early-reader illustration for ""cop"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""cop"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
core,TRUE,TRUE,Medium,Grade 1-2,R-controlled or / ore / oar / our,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/core.webp,/media/vocabulary/audio/core.mp3,"Child-friendly early-reader illustration for ""core"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""core"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting. Good for early blending and initial/final sound tasks.
count,TRUE,FALSE,Medium,,Diphthongs ou / ow,action word; use in a simple sentence or picture prompt,/media/vocabulary/images/count.webp,,"Child-friendly early-reader illustration for ""count"". Classroom meaning clue: action word; use in a simple sentence or picture prompt. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling. Useful for advanced vowel sound work.
course,TRUE,FALSE,Medium-Low,Grade 1-2,R-controlled or / ore / oar / our,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/course.webp,,"Child-friendly early-reader illustration for ""course"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for r-controlled vowel sorting. Useful for vowel-team decoding/spelling. Useful for advanced vowel sound work.
cozy,TRUE,FALSE,Medium,,Simple two-syllable decodable words,common K-3 vocabulary word,/media/vocabulary/images/cozy.webp,,"Child-friendly early-reader illustration for ""cozy"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,4
crack,TRUE,FALSE,Medium,Grade 1,Common blends and clusters,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/crack.webp,,"Child-friendly early-reader illustration for ""crack"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,5
craft,TRUE,FALSE,Medium,,Short vowel words with final blends,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/craft.webp,,"Child-friendly early-reader illustration for ""craft"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,5
cram,TRUE,TRUE,Medium,Grade 1,Simple CCVC short-vowel words,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/cram.webp,/media/vocabulary/audio/cram.mp3,"Child-friendly early-reader illustration for ""cram"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""cram"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
crash,TRUE,FALSE,Medium,Grade 1,Common blends and clusters,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/crash.webp,,"Child-friendly early-reader illustration for ""crash"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,5
crazy,TRUE,TRUE,Medium,Grade 2-3,Simple two-syllable decodable words,common K-3 vocabulary word,/media/vocabulary/images/crazy.webp,/media/vocabulary/audio/crazy.mp3,"Child-friendly early-reader illustration for ""crazy"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""crazy"" once, natural pronunciation, no extra phrase, no music, no sound effects.",5
cream,TRUE,TRUE,Medium,Grade 1,Long e vowel teams ee / ea / ey / ie,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/cream.webp,/media/vocabulary/audio/cream.mp3,"Child-friendly early-reader illustration for ""cream"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""cream"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
crew,TRUE,TRUE,Medium,K-Grade 3 vocabulary,Long u / oo / ew / ue,common K-3 vocabulary word,/media/vocabulary/images/crew.webp,/media/vocabulary/audio/crew.mp3,"Child-friendly early-reader illustration for ""crew"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""crew"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling. Good for early blending and initial/final sound tasks.
cried,TRUE,FALSE,Medium,K-Grade 3 vocabulary,Long i patterns i_e / igh / y / ie,common K-3 vocabulary word,/media/vocabulary/images/cried.webp,,"Child-friendly early-reader illustration for ""cried"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling.
crisp,TRUE,TRUE,Medium,,Short vowel words with final blends,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/crisp.webp,/media/vocabulary/audio/crisp.mp3,"Child-friendly early-reader illustration for ""crisp"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""crisp"" once, natural pronunciation, no extra phrase, no music, no sound effects.",5
cross,TRUE,FALSE,Medium,Grade 1,Common blends and clusters,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/cross.webp,,"Child-friendly early-reader illustration for ""cross"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,5
cry,TRUE,TRUE,Medium,K-Grade 3 vocabulary,Long i patterns i_e / igh / y / ie,common K-3 vocabulary word,/media/vocabulary/images/cry.webp,/media/vocabulary/audio/cry.mp3,"Child-friendly early-reader illustration for ""cry"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""cry"" once, natural pronunciation, no extra phrase, no music, no sound effects.",3
dam,TRUE,TRUE,Medium,K-Grade 1,Short a CVC,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/dam.webp,/media/vocabulary/audio/dam.mp3,"Child-friendly early-reader illustration for ""dam"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""dam"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
damp,TRUE,TRUE,Medium,Grade 1,Simple CVCC short-vowel words,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/damp.webp,/media/vocabulary/audio/damp.mp3,"Child-friendly early-reader illustration for ""damp"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""damp"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
dare,TRUE,TRUE,Medium,K-Grade 3 vocabulary,Air / ear / eer / are patterns,common K-3 vocabulary word,/media/vocabulary/images/dare.webp,/media/vocabulary/audio/dare.mp3,"Child-friendly early-reader illustration for ""dare"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""dare"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting. Good for early blending and initial/final sound tasks.
date,TRUE,FALSE,Medium,Grade 1-2,CVCe long a,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/date.webp,,"Child-friendly early-reader illustration for ""date"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Good for early blending and initial/final sound tasks.
daughter,TRUE,TRUE,Medium-Low,Grade 1-2,Au / aw / al / all,common K-3 vocabulary word,/media/vocabulary/images/daughter.webp,/media/vocabulary/audio/daughter.mp3,"Child-friendly early-reader illustration for ""daughter"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""daughter"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting. Useful for vowel-team decoding/spelling.
day,TRUE,FALSE,Low,Grade 1-2,Long a vowel teams ai / ay / eigh,common high-frequency word for reading fluency,/media/vocabulary/images/day.webp,,"Child-friendly early-reader illustration for ""day"". Classroom meaning clue: common high-frequency word for reading fluency. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for vowel-team decoding/spelling.
dear,TRUE,TRUE,Medium,K-Grade 3 vocabulary,Air / ear / eer / are patterns,common K-3 vocabulary word,/media/vocabulary/images/dear.webp,/media/vocabulary/audio/dear.mp3,"Child-friendly early-reader illustration for ""dear"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""dear"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting. Useful for vowel-team decoding/spelling.
deep,TRUE,FALSE,Medium,Grade 1-2,Long e vowel teams ee / ea / ey / ie,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/deep.webp,,"Child-friendly early-reader illustration for ""deep"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling.
dentist,TRUE,FALSE,Medium-Low,,Simple two-syllable decodable words,common K-3 vocabulary word,/media/vocabulary/images/dentist.webp,,"Child-friendly early-reader illustration for ""dentist"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,7
did,TRUE,FALSE,Low,K-Grade 3 sight/fluency,High-frequency regular and partly decodable K-3 words,grammar/function word used to build sentences,/media/vocabulary/images/did.webp,,"Child-friendly early-reader illustration for ""did"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Good for early blending and initial/final sound tasks.
die,TRUE,TRUE,Medium,K-Grade 3 vocabulary,Long i patterns i_e / igh / y / ie,common K-3 vocabulary word,/media/vocabulary/images/die.webp,/media/vocabulary/audio/die.mp3,"Child-friendly early-reader illustration for ""die"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""die"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
different,TRUE,FALSE,Medium,,High-frequency regular and partly decodable K-3 words,describing word; tells what something is like,/media/vocabulary/images/different.webp,,"Child-friendly early-reader illustration for ""different"". Classroom meaning clue: describing word; tells what something is like. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for r-controlled vowel sorting.
digging,TRUE,TRUE,Medium-Low,,Inflections - ing,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/digging.webp,/media/vocabulary/audio/digging.mp3,"Child-friendly early-reader illustration for ""digging"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""digging"" once, natural pronunciation, no extra phrase, no music, no sound effects.",7
dim,TRUE,TRUE,Medium,K-Grade 1,Short i CVC,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/dim.webp,/media/vocabulary/audio/dim.mp3,"Child-friendly early-reader illustration for ""dim"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""dim"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
dinner,TRUE,FALSE,Medium-Low,,Simple two-syllable decodable words,common K-3 vocabulary word,/media/vocabulary/images/dinner.webp,,"Child-friendly early-reader illustration for ""dinner"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for r-controlled vowel sorting.
dirt,TRUE,FALSE,High,Grade 1-2,R-controlled er / ir / ur,nature/place word,/media/vocabulary/images/dirt.webp,,"Child-friendly early-reader illustration for ""dirt"". Classroom meaning clue: nature/place word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for r-controlled vowel sorting. Good for early blending and initial/final sound tasks.
do,TRUE,FALSE,Medium,K-Grade 1,VC / CV / very early words,action word; use in a simple sentence or picture prompt,/media/vocabulary/images/do.webp,,"Child-friendly early-reader illustration for ""do"". Classroom meaning clue: action word; use in a simple sentence or picture prompt. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete.
does,TRUE,FALSE,Low,,High-frequency regular and partly decodable K-3 words,grammar/function word used to build sentences,/media/vocabulary/images/does.webp,,"Child-friendly early-reader illustration for ""does"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for vowel-team decoding/spelling.
doing,TRUE,FALSE,Medium,,Inflections - ing,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/doing.webp,,"Child-friendly early-reader illustration for ""doing"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling. Useful for advanced vowel sound work.
dome,TRUE,TRUE,Medium,Grade 1-2,CVCe long e / i / o / u,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/dome.webp,/media/vocabulary/audio/dome.mp3,"Child-friendly early-reader illustration for ""dome"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""dome"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
don't,TRUE,FALSE,Low,,High-frequency regular and partly decodable K-3 words,common high-frequency word for reading fluency,/media/vocabulary/images/dont.webp,,"Child-friendly early-reader illustration for ""don't"". Classroom meaning clue: common high-frequency word for reading fluency. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete.
done,TRUE,FALSE,Low,K-Grade 3 sight/fluency,High-frequency regular and partly decodable K-3 words,common high-frequency word for reading fluency,/media/vocabulary/images/done.webp,,"Child-friendly early-reader illustration for ""done"". Classroom meaning clue: common high-frequency word for reading fluency. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Good for early blending and initial/final sound tasks.
drag,TRUE,TRUE,Medium,Grade 1,Simple CCVC short-vowel words,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/drag.webp,/media/vocabulary/audio/drag.mp3,"Child-friendly early-reader illustration for ""drag"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""drag"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Good for early blending and initial/final sound tasks.
drank,TRUE,FALSE,Medium,Grade 1,Short vowel words with final blends,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/drank.webp,,"Child-friendly early-reader illustration for ""drank"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,5
dream,TRUE,FALSE,Medium,Grade 1-2,Long e vowel teams ee / ea / ey / ie,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/dream.webp,,"Child-friendly early-reader illustration for ""dream"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling.
drew,TRUE,FALSE,Medium,K-Grade 3 vocabulary,Long u / oo / ew / ue,common K-3 vocabulary word,/media/vocabulary/images/drew.webp,,"Child-friendly early-reader illustration for ""drew"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling. Good for early blending and initial/final sound tasks.
drive,TRUE,FALSE,Medium,Grade 1,CVCe long e / i / o / u,action word; use in a simple sentence or picture prompt,/media/vocabulary/images/drive.webp,,"Child-friendly early-reader illustration for ""drive"". Classroom meaning clue: action word; use in a simple sentence or picture prompt. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,5
driver,TRUE,TRUE,High,,Common early nouns - people and family,people/family word,/media/vocabulary/images/driver.webp,/media/vocabulary/audio/driver.mp3,"Child-friendly early-reader illustration for ""driver"". Classroom meaning clue: people/family word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""driver"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for r-controlled vowel sorting.
dropping,TRUE,TRUE,Medium-Low,Grade 2-3,Inflections - ing,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/dropping.webp,/media/vocabulary/audio/dropping.mp3,"Child-friendly early-reader illustration for ""dropping"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""dropping"" once, natural pronunciation, no extra phrase, no music, no sound effects.",8
ducks,TRUE,FALSE,Medium,,Inflections - plural / s / es,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/ducks.webp,,"Child-friendly early-reader illustration for ""ducks"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,5
due,TRUE,TRUE,Medium,K-Grade 3 vocabulary,Long u / oo / ew / ue,common K-3 vocabulary word,/media/vocabulary/images/due.webp,/media/vocabulary/audio/due.mp3,"Child-friendly early-reader illustration for ""due"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""due"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
dune,TRUE,FALSE,Medium,Grade 1-2,CVCe long e / i / o / u,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/dune.webp,,"Child-friendly early-reader illustration for ""dune"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Good for early blending and initial/final sound tasks.
during,TRUE,TRUE,Low,,Common function / grammar words K-3,grammar/function word used to build sentences,/media/vocabulary/images/during.webp,/media/vocabulary/audio/during.mp3,"Child-friendly early-reader illustration for ""during"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""during"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Do not use as image-only target unless meaning is concrete. Useful for r-controlled vowel sorting.
each,TRUE,FALSE,Low,Grade 1-2,Long e vowel teams ee / ea / ey / ie,grammar/function word used to build sentences,/media/vocabulary/images/each.webp,,"Child-friendly early-reader illustration for ""each"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for vowel-team decoding/spelling.
eat,TRUE,FALSE,Medium,Grade 1-2,Long e vowel teams ee / ea / ey / ie,take food into the mouth,/media/vocabulary/images/eat.webp,,"Child-friendly early-reader illustration for ""eat"". Classroom meaning clue: take food into the mouth. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling.
eating,TRUE,FALSE,Medium-Low,,Inflections - ing,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/eating.webp,,"Child-friendly early-reader illustration for ""eating"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Useful for vowel-team decoding/spelling.
either,TRUE,FALSE,Low,,Common function / grammar words K-3,grammar/function word used to build sentences,/media/vocabulary/images/either.webp,,"Child-friendly early-reader illustration for ""either"". Classroom meaning clue: grammar/function word used to build sentences. Because this is abstract or function-word-like, use a simple situational context that suggests meaning without written words. No text, letters, labels, watermark, or unsafe content.",,Do not use as image-only target unless meaning is concrete. Useful for r-controlled vowel sorting.
enjoy,TRUE,TRUE,Medium,Grade 1-2,Diphthongs oi / oy,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/enjoy.webp,/media/vocabulary/audio/enjoy.mp3,"Child-friendly early-reader illustration for ""enjoy"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""enjoy"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling. Useful for advanced vowel sound work.
eve,TRUE,TRUE,Medium,Grade 1-2,CVCe long e / i / o / u,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/eve.webp,/media/vocabulary/audio/eve.mp3,"Child-friendly early-reader illustration for ""eve"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""eve"" once, natural pronunciation, no extra phrase, no music, no sound effects.",3
even,TRUE,FALSE,Medium,,Simple two-syllable decodable words,common K-3 vocabulary word,/media/vocabulary/images/even.webp,,"Child-friendly early-reader illustration for ""even"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,4
evil,TRUE,TRUE,Medium,,Simple two-syllable decodable words,common K-3 vocabulary word,/media/vocabulary/images/evil.webp,/media/vocabulary/audio/evil.mp3,"Child-friendly early-reader illustration for ""evil"". Classroom meaning clue: common K-3 vocabulary word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""evil"" once, natural pronunciation, no extra phrase, no music, no sound effects.",4
face,TRUE,FALSE,High,K-Grade 3 vocabulary,Common early nouns - body and clothes,body/clothing word,/media/vocabulary/images/face.webp,,"Child-friendly early-reader illustration for ""face"". Classroom meaning clue: body/clothing word. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Good for early blending and initial/final sound tasks.
fact,TRUE,FALSE,Medium,,Simple CVCC short-vowel words,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/fact.webp,,"Child-friendly early-reader illustration for ""fact"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.",,Good for early blending and initial/final sound tasks.
fail,TRUE,TRUE,Medium,Grade 1-2,Long a vowel teams ai / ay / eigh,common decodable word; check picture/context for exact meaning,/media/vocabulary/images/fail.webp,/media/vocabulary/audio/fail.mp3,"Child-friendly early-reader illustration for ""fail"". Classroom meaning clue: common decodable word; check picture/context for exact meaning. Make the word visually clear as a simple object, action, attribute, or scene. No text, letters, labels, watermark, or unsafe content.","Record clean child-friendly audio saying only the word ""fail"" once, natural pronunciation, no extra phrase, no music, no sound effects.",Useful for vowel-team decoding/spelling.
